target,vehicle,time,dt
cluster_452486132_452486137,veh70,347,inf
cluster_452486132_452486137,veh53,435,88.000000
cluster_452486132_452486137,veh98,437,2.000000
cluster_452486132_452486137,veh1,444,7.000000
cluster_452486132_452486137,veh4,446,2.000000
cluster_452486132_452486137,veh68,448,2.000000
cluster_452486132_452486137,veh38,525,77.000000
cluster_452486132_452486137,veh91,533,8.000000
cluster_452486132_452486137,veh52,535,2.000000
cluster_452486132_452486137,veh29,537,2.000000
cluster_452486132_452486137,veh24,541,4.000000
cluster_452486132_452486137,veh81,618,77.000000
cluster_452486132_452486137,veh56,623,5.000000
cluster_452486132_452486137,veh14,625,2.000000
cluster_452486132_452486137,veh13,627,2.000000
cluster_452486132_452486137,veh22,629,2.000000
cluster_452486132_452486137,veh84,706,77.000000
cluster_452486132_452486137,veh85,710,4.000000
cluster_452486132_452486137,veh71,713,3.000000
cluster_452486132_452486137,veh19,715,2.000000
cluster_452486132_452486137,veh66,717,2.000000
cluster_110096_110104,veh41,723,inf
cluster_452486132_452486137,veh94,796,79.000000
cluster_452486132_452486137,veh95,798,2.000000
cluster_452486132_452486137,veh76,802,4.000000
cluster_452486132_452486137,veh50,806,4.000000
cluster_452486132_452486137,veh92,811,5.000000
cluster_110096_110104,veh61,813,90.000000
cluster_452486132_452486137,veh20,887,76.000000
cluster_452486132_452486137,veh32,889,2.000000
cluster_452486132_452486137,veh62,891,2.000000
cluster_452486132_452486137,veh67,896,5.000000
cluster_452486132_452486137,veh16,899,3.000000
cluster_452486132_452486137,veh97,981,82.000000
cluster_452486132_452486137,veh7,983,2.000000
cluster_452486132_452486137,veh27,985,2.000000
cluster_452486132_452486137,veh80,987,2.000000
cluster_452486132_452486137,veh46,1067,80.000000
cluster_452486132_452486137,veh26,1071,4.000000
cluster_452486132_452486137,veh21,1073,2.000000
cluster_452486132_452486137,veh90,1075,2.000000
cluster_452486132_452486137,veh30,1077,2.000000
cluster_452486132_452486137,veh12,1156,79.000000
cluster_452486132_452486137,veh43,1159,3.000000
cluster_452486132_452486137,veh54,1164,5.000000
cluster_452486132_452486137,veh25,1167,3.000000
cluster_452486132_452486137,veh17,1169,2.000000
cluster_452486132_452486137,veh58,1249,80.000000
cluster_452486132_452486137,veh23,1251,2.000000
cluster_452486132_452486137,veh89,1253,2.000000
cluster_452486132_452486137,veh47,1256,3.000000
cluster_452486132_452486137,veh82,1258,2.000000
cluster_452486132_452486137,veh77,1337,79.000000
cluster_452486132_452486137,veh33,1339,2.000000
cluster_452486132_452486137,veh59,1342,3.000000
cluster_452486132_452486137,veh87,1344,2.000000
cluster_452486132_452486137,veh31,1346,2.000000
cluster_452486132_452486137,veh79,1425,79.000000
cluster_452486132_452486137,veh83,1430,5.000000
cluster_452486132_452486137,veh44,1432,2.000000
cluster_452486132_452486137,veh57,1434,2.000000
cluster_452486132_452486137,veh8,1437,3.000000
cluster_452486132_452486137,veh37,1513,76.000000
cluster_452486132_452486137,veh65,1524,11.000000
cluster_452486132_452486137,veh64,1526,2.000000
cluster_452486132_452486137,veh74,1528,2.000000
cluster_452486132_452486137,veh86,1530,2.000000
cluster_452486132_452486137,veh51,1604,74.000000
cluster_452486132_452486137,veh35,1609,5.000000
cluster_452486132_452486137,veh88,1614,5.000000
cluster_452486132_452486137,veh9,1617,3.000000
cluster_452486132_452486137,veh55,1619,2.000000
cluster_452486132_452486137,veh3,1696,77.000000
cluster_452486132_452486137,veh6,1699,3.000000
cluster_452486132_452486137,veh40,1701,2.000000
cluster_452486132_452486137,veh36,1704,3.000000
cluster_452486132_452486137,veh63,1706,2.000000
cluster_452486132_452486137,veh69,1787,81.000000
cluster_452486132_452486137,veh10,1789,2.000000
cluster_452486132_452486137,veh93,1792,3.000000
cluster_452486132_452486137,veh2,1794,2.000000
cluster_452486132_452486137,veh45,1796,2.000000
cluster_452486132_452486137,veh11,1877,81.000000
cluster_452486132_452486137,veh39,1882,5.000000
cluster_452486132_452486137,veh96,1884,2.000000
cluster_452486132_452486137,veh78,1886,2.000000
cluster_452486132_452486137,veh5,1892,6.000000
cluster_452486132_452486137,veh15,1970,78.000000
cluster_452486132_452486137,veh73,1972,2.000000
cluster_452486132_452486137,veh75,1974,2.000000
cluster_452486132_452486137,veh48,1977,3.000000
cluster_452486132_452486137,veh72,1979,2.000000
cluster_452486132_452486137,veh34,2058,79.000000
cluster_452486132_452486137,veh49,2065,7.000000
cluster_452486132_452486137,veh18,2067,2.000000
cluster_452486132_452486137,veh28,2069,2.000000
cluster_452486132_452486137,veh60,2071,2.000000
cluster_452486132_452486137,veh42,2145,74.000000
cluster_452486132_452486137,veh99,2147,2.000000
cluster_452486132_452486137,veh0,2150,3.000000
