id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,108349702,5659817721,675.810,775.666,361,2.000000,108368
veh1,5167408132,cluster_18060028_6565224970,687.956,804.663,950,89.000000,273783
veh2,26592059,648861171,645.146,787.426,282,inf,108368
veh3,26592061,108645,712.307,804.464,855,inf,273783
veh4,26592131,4714326716,715.480,832.478,954,4.000000,273783
veh5,4844725951,4712600952,721.698,836.121,365,4.000000,108368
veh6,cluster_26592975_96071420,10530339,648.822,737.704,861,6.000000,273783
veh7,1691695930,2058123414,660.034,786.178,359,77.000000,108368
veh8,2322279896,659503803,655.633,772.279,958,4.000000,273783
veh9,12816085,cluster_1841340870_28800409,663.865,779.613,1042,84.000000,273783
