id,source,destination,shortest path length,diversion path length,sample time,target id
veh601,5148672647,198276,725.892,765.672,14467,34168007
veh602,5460261648,109383,671.806,727.635,14499,703524044
veh603,cluster_26592169_442864065,381448575,567.285,660.549,14445,703524044
veh604,37892881,618348988,789.684,857.320,14617,703524044
veh605,27511087,106817,761.333,834.663,14589,703524044
veh606,53847568,5226769086,709.725,726.570,14142,108368
veh607,24498625,4654873353,662.352,677.776,14920,34168007
veh608,96084765,2462321764,686.824,742.653,14678,703524044
veh609,276560,648861188,702.446,763.758,14769,703524044
veh610,26607497,1826819689,662.544,730.180,14799,703524044
veh611,1784648796,985082001,669.741,737.377,14802,703524044
veh612,cluster_95985385_95985464,108449,713.724,781.360,15041,703524044
veh613,881874810,282786630,757.690,776.797,14207,108368
veh614,96071472,5581612332,699.264,759.801,14333,108368
veh615,cluster_6017105715_864960615,18059994,738.336,794.165,14954,703524044
veh616,37891541,10870255,682.070,749.706,14984,703524044
veh617,4733548042,900761759,654.641,722.277,14951,703524044
veh618,26389708,2714971493,702.559,744.667,15100,34168007
veh619,26593442,110181,699.825,767.461,15068,703524044
veh620,26592061,900694867,616.781,701.135,14886,703524044
veh621,96081286,727632912,685.424,789.225,14869,1249708436
veh622,5267783268,1695218654,581.381,649.017,14981,703524044
veh623,866630993,6462722977,672.638,740.274,15070,703524044
veh624,26389333,1490840323,708.481,826.462,14958,1249708436
veh625,cluster_5954974013_5954974014,1767293914,662.765,730.401,15077,703524044
veh626,cluster_2320939067_2514564655_5197236556_5197236559_5197236563_5197236564_5197236566_5197255629_53843238,1826845409,743.876,777.344,14426,108368
veh627,846861675,48700396,707.697,775.333,14988,703524044
veh628,26389322,21533612,755.036,873.017,14958,1249708436
veh629,26389709,cluster_25475902_282712,604.808,696.840,15044,703524044
veh630,109717,6388387129,584.721,652.357,14979,703524044
veh631,866577717,28800413,702.579,770.215,15074,703524044
veh632,27320283,5830967581,631.985,716.339,15072,703524044
veh633,53848050,cluster_1685806888_1763198736,606.828,655.977,14563,108368
veh634,26592983,48700396,766.914,834.550,15079,703524044
veh635,109717,1162226086,658.541,673.391,15033,34168007
veh636,37879363,659504272,883.892,950.523,15375,34168007
veh637,711680753,109382,663.415,722.916,15046,703524044
veh638,4984454001,242619,783.306,803.159,14516,108368
veh639,1938240185,1841352339,658.552,676.830,15279,34168007
veh640,cluster_1947343652_26389846,648861183,635.642,703.278,15155,703524044
veh641,cluster_37874195_37877761,10529810,789.394,804.244,15276,34168007
veh642,cluster_277474200_6017246000,108434,711.017,766.846,15218,703524044
veh643,148785207,2264273371,670.151,737.787,15247,703524044
veh644,25507343,6015241143,726.604,793.235,15363,34168007
veh645,2320939062,cluster_106880_244675701_244675711_244675713,633.671,648.521,15543,34168007
veh646,866577953,cluster_1694422268_1763373559_25544403,671.379,739.015,15513,703524044
veh647,24500521,5688750649,785.932,849.578,14920,108368
veh648,1141785114,618348988,790.054,857.690,15517,703524044
veh649,24500521,18059989,650.362,714.008,15001,108368
veh650,108341,2312962818,614.547,669.367,15489,34168007
veh651,27325124,5581586675,834.092,886.527,15747,34168007
veh652,95985909,cluster_1318375611_25581365,629.974,631.551,15910,34168007
veh653,3818359102,cluster_1699964733_2566152532,753.460,809.289,15669,703524044
veh654,27510921,4654873353,747.600,763.024,15916,34168007
veh655,1268041132,cluster_56474370_6379825178,626.591,682.420,16064,703524044
veh656,276560,2562545251,776.415,821.678,16116,34168007
veh657,26389721,cluster_18060028_6565224970,692.787,748.616,15849,703524044
veh658,26592073,cluster_142387609_28800253,696.434,800.235,15768,1249708436
veh659,26389703,4540828138,700.967,756.796,16250,703524044
veh660,26389346,1699964756,762.206,853.732,15966,703524044
veh661,1685947963,2584020698,634.020,684.584,15410,108368
veh662,1110941499,4639487253,789.733,795.782,16274,34168007
veh663,1694551474,5226769086,651.491,719.127,16066,703524044
veh664,302397749,4540828139,759.046,826.682,16057,703524044
