target,vehicle,time,dt
25471086,veh52,345,inf
25471086,veh34,436,91.000000
25471086,veh89,440,4.000000
25471086,veh82,444,4.000000
25471086,veh5,448,4.000000
25471086,veh3,525,77.000000
25471086,veh43,529,4.000000
25471086,veh49,534,5.000000
25471086,veh55,537,3.000000
25471086,veh62,616,79.000000
25471086,veh31,620,4.000000
25471086,veh24,624,4.000000
25471086,veh6,628,4.000000
25471086,veh77,706,78.000000
25471086,veh95,710,4.000000
25471086,veh17,714,4.000000
25471086,veh57,718,4.000000
25471086,veh47,721,3.000000
25471086,veh69,796,75.000000
cluster_452486132_452486137,veh32,797,inf
25471086,veh86,800,4.000000
25471086,veh54,887,87.000000
25471086,veh85,891,4.000000
25471086,veh18,895,4.000000
25471086,veh27,898,3.000000
25471086,veh48,978,80.000000
25471086,veh23,983,5.000000
25471086,veh96,986,3.000000
25471086,veh72,990,4.000000
25471086,veh26,994,4.000000
25471086,veh81,1066,72.000000
25471086,veh35,1070,4.000000
25471086,veh92,1075,5.000000
25471086,veh74,1078,3.000000
25471086,veh65,1082,4.000000
25471086,veh22,1158,76.000000
25471086,veh78,1162,4.000000
cluster_452486132_452486137,veh50,1163,366.000000
25471086,veh1,1249,87.000000
25471086,veh70,1252,3.000000
25471086,veh80,1256,4.000000
25471086,veh88,1259,3.000000
25471086,veh4,1337,78.000000
25471086,veh15,1341,4.000000
25471086,veh51,1344,3.000000
25471086,veh42,1348,4.000000
25471086,veh20,1426,78.000000
25471086,veh28,1429,3.000000
25471086,veh44,1433,4.000000
25471086,veh25,1437,4.000000
25471086,veh21,1517,80.000000
25471086,veh14,1520,3.000000
25471086,veh30,1524,4.000000
25471086,veh2,1527,3.000000
25471086,veh67,1530,3.000000
25471086,veh87,1607,77.000000
25471086,veh60,1611,4.000000
25471086,veh76,1614,3.000000
25471086,veh64,1618,4.000000
25471086,veh29,1622,4.000000
cluster_452486132_452486137,veh0,1696,533.000000
25471086,veh94,1697,75.000000
25471086,veh61,1700,3.000000
25471086,veh10,1704,4.000000
25471086,veh13,1707,3.000000
25471086,veh36,1787,80.000000
25471086,veh71,1791,4.000000
25471086,veh19,1794,3.000000
25471086,veh75,1797,3.000000
25471086,veh56,1801,4.000000
25471086,veh53,1875,74.000000
25471086,veh97,1880,5.000000
25471086,veh90,1883,3.000000
25471086,veh66,1887,4.000000
25471086,veh7,1891,4.000000
25471086,veh46,1966,75.000000
25471086,veh12,1969,3.000000
25471086,veh63,1973,4.000000
25471086,veh68,2056,83.000000
25471086,veh59,2060,4.000000
25471086,veh99,2063,3.000000
25471086,veh39,2067,4.000000
25471086,veh84,2145,78.000000
25471086,veh45,2149,4.000000
25471086,veh16,2154,5.000000
25471086,veh38,2235,81.000000
25471086,veh98,2239,4.000000
