id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,364653468,648861126,87.557,759.282,545,88.000000,cluster_25497870_352925513
veh1,1710389916,34223057,167.123,629.491,457,2.000000,cluster_25497870_352925513
veh2,26607505,648861165,114.339,659.712,455,60.000000,cluster_25497870_352925513
veh3,26592107,48695367,38.648,755.696,455,0.000000,cluster_25497870_352925513
veh4,cluster_2322273093_26592033_26592053,10530339,622.174,729.543,395,inf,601141518
veh5,5162003756,659503962,153.587,752.357,1625,1080.000000,cluster_25497870_352925513
veh6,96072412,cluster_122526274_48932366,368.142,504.751,2889,inf,cluster_25497870_352925513
veh7,5167408132,1163157561,169.724,851.663,3695,2070.000000,601141518
veh8,2681420502,288164060,391.408,685.767,3875,180.000000,601141518
veh9,cluster_2322273086_2322273094_2322284839_2322284842_2322284843_2322284844_2322288196_3110025107_5167408001,108594,703.396,883.225,4685,1796.000000,1039760426
