target,vehicle,time,dt
cluster_452486132_452486137,veh57,344,inf
cluster_452486132_452486137,veh29,440,96.000000
cluster_452486132_452486137,veh2,442,2.000000
cluster_452486132_452486137,veh52,444,2.000000
cluster_452486132_452486137,veh12,446,2.000000
cluster_452486132_452486137,veh11,448,2.000000
cluster_452486132_452486137,veh71,529,81.000000
cluster_452486132_452486137,veh70,531,2.000000
cluster_452486132_452486137,veh87,533,2.000000
cluster_452486132_452486137,veh38,535,2.000000
cluster_452486132_452486137,veh91,539,4.000000
cluster_110096_110104,veh31,543,inf
cluster_452486132_452486137,veh1,619,80.000000
cluster_452486132_452486137,veh39,623,4.000000
cluster_452486132_452486137,veh0,625,2.000000
cluster_452486132_452486137,veh23,627,2.000000
cluster_452486132_452486137,veh53,629,2.000000
cluster_110096_110104,veh46,633,90.000000
cluster_452486132_452486137,veh48,711,82.000000
cluster_452486132_452486137,veh18,713,2.000000
cluster_452486132_452486137,veh21,715,2.000000
cluster_452486132_452486137,veh74,717,2.000000
cluster_452486132_452486137,veh67,720,3.000000
cluster_452486132_452486137,veh33,795,75.000000
cluster_452486132_452486137,veh47,801,6.000000
cluster_452486132_452486137,veh17,804,3.000000
cluster_452486132_452486137,veh82,806,2.000000
cluster_452486132_452486137,veh78,808,2.000000
cluster_452486132_452486137,veh9,892,84.000000
cluster_452486132_452486137,veh58,894,2.000000
cluster_452486132_452486137,veh49,897,3.000000
cluster_452486132_452486137,veh65,899,2.000000
cluster_452486132_452486137,veh62,901,2.000000
cluster_452486132_452486137,veh25,981,80.000000
cluster_452486132_452486137,veh76,983,2.000000
cluster_452486132_452486137,veh8,986,3.000000
cluster_452486132_452486137,veh7,988,2.000000
cluster_452486132_452486137,veh54,990,2.000000
cluster_452486132_452486137,veh27,1069,79.000000
cluster_452486132_452486137,veh45,1071,2.000000
cluster_452486132_452486137,veh72,1073,2.000000
cluster_452486132_452486137,veh14,1075,2.000000
cluster_452486132_452486137,veh20,1077,2.000000
cluster_452486132_452486137,veh85,1158,81.000000
cluster_452486132_452486137,veh63,1160,2.000000
cluster_452486132_452486137,veh30,1162,2.000000
cluster_452486132_452486137,veh73,1164,2.000000
cluster_452486132_452486137,veh15,1167,3.000000
cluster_452486132_452486137,veh36,1251,84.000000
cluster_452486132_452486137,veh24,1254,3.000000
cluster_452486132_452486137,veh61,1256,2.000000
cluster_452486132_452486137,veh88,1258,2.000000
cluster_452486132_452486137,veh44,1260,2.000000
cluster_452486132_452486137,veh10,1335,75.000000
cluster_452486132_452486137,veh37,1337,2.000000
cluster_452486132_452486137,veh93,1342,5.000000
cluster_452486132_452486137,veh13,1344,2.000000
cluster_452486132_452486137,veh64,1346,2.000000
cluster_452486132_452486137,veh51,1348,2.000000
cluster_452486132_452486137,veh43,1426,78.000000
cluster_452486132_452486137,veh68,1429,3.000000
cluster_452486132_452486137,veh99,1431,2.000000
cluster_452486132_452486137,veh80,1433,2.000000
cluster_452486132_452486137,veh60,1435,2.000000
cluster_452486132_452486137,veh28,1514,79.000000
cluster_452486132_452486137,veh19,1516,2.000000
cluster_452486132_452486137,veh84,1519,3.000000
cluster_452486132_452486137,veh41,1523,4.000000
cluster_452486132_452486137,veh92,1531,8.000000
cluster_452486132_452486137,veh83,1608,77.000000
cluster_452486132_452486137,veh3,1610,2.000000
cluster_452486132_452486137,veh69,1612,2.000000
cluster_452486132_452486137,veh6,1614,2.000000
cluster_452486132_452486137,veh81,1617,3.000000
cluster_452486132_452486137,veh22,1699,82.000000
cluster_452486132_452486137,veh79,1701,2.000000
cluster_452486132_452486137,veh98,1703,2.000000
cluster_452486132_452486137,veh55,1706,3.000000
cluster_452486132_452486137,veh50,1710,4.000000
cluster_452486132_452486137,veh40,1787,77.000000
cluster_452486132_452486137,veh16,1794,7.000000
cluster_452486132_452486137,veh77,1796,2.000000
cluster_452486132_452486137,veh5,1799,3.000000
cluster_452486132_452486137,veh89,1801,2.000000
cluster_452486132_452486137,veh34,1878,77.000000
cluster_452486132_452486137,veh86,1880,2.000000
cluster_452486132_452486137,veh90,1883,3.000000
cluster_452486132_452486137,veh32,1885,2.000000
cluster_452486132_452486137,veh66,1888,3.000000
cluster_452486132_452486137,veh42,1966,78.000000
cluster_452486132_452486137,veh94,1968,2.000000
cluster_452486132_452486137,veh35,1971,3.000000
cluster_452486132_452486137,veh59,1975,4.000000
cluster_452486132_452486137,veh75,1977,2.000000
cluster_452486132_452486137,veh95,2058,81.000000
cluster_452486132_452486137,veh56,2061,3.000000
cluster_452486132_452486137,veh4,2063,2.000000
cluster_452486132_452486137,veh26,2066,3.000000
cluster_452486132_452486137,veh96,2148,82.000000
cluster_452486132_452486137,veh97,2153,5.000000
