target,vehicle,time,dt
cluster_452486132_452486137,veh83,348,inf
cluster_452486132_452486137,veh60,390,42.000000
2417297527,veh57,435,inf
cluster_452486132_452486137,veh12,436,46.000000
cluster_452486132_452486137,veh19,438,2.000000
cluster_452486132_452486137,veh98,440,2.000000
cluster_452486132_452486137,veh11,443,3.000000
cluster_452486132_452486137,veh91,514,71.000000
cluster_452486132_452486137,veh30,524,10.000000
cluster_452486132_452486137,veh36,530,6.000000
cluster_452486132_452486137,veh28,532,2.000000
cluster_452486132_452486137,veh0,616,84.000000
cluster_452486132_452486137,veh78,620,4.000000
cluster_452486132_452486137,veh9,626,6.000000
cluster_452486132_452486137,veh92,629,3.000000
cluster_110096_110104,veh52,633,inf
1953534560,veh95,654,inf
cluster_452486132_452486137,veh39,711,82.000000
cluster_452486132_452486137,veh55,713,2.000000
cluster_452486132_452486137,veh82,715,2.000000
cluster_110096_110104,veh21,723,90.000000
cluster_110096_110104,veh53,723,0.000000
cluster_110096_110104,veh81,723,0.000000
cluster_110096_110104,veh17,725,2.000000
cluster_110096_110104,veh25,725,0.000000
2417297527,veh40,749,314.000000
2417297527,veh97,755,6.000000
2417297527,veh16,766,11.000000
3705603827,veh3,773,inf
cluster_452486132_452486137,veh32,797,82.000000
cluster_452486132_452486137,veh41,801,4.000000
cluster_452486132_452486137,veh96,803,2.000000
cluster_452486132_452486137,veh64,805,2.000000
cluster_452486132_452486137,veh1,808,3.000000
2417297527,veh84,811,45.000000
cluster_110096_110104,veh27,813,88.000000
cluster_110096_110104,veh45,813,0.000000
cluster_110096_110104,veh65,813,0.000000
2417297527,veh49,814,3.000000
cluster_110096_110104,veh75,815,2.000000
cluster_110096_110104,veh79,815,0.000000
cluster_110096_110104,veh35,817,2.000000
cluster_452486132_452486137,veh13,884,76.000000
cluster_452486132_452486137,veh94,887,3.000000
cluster_452486132_452486137,veh23,895,8.000000
cluster_452486132_452486137,veh76,897,2.000000
cluster_452486132_452486137,veh34,978,81.000000
cluster_452486132_452486137,veh88,980,2.000000
cluster_452486132_452486137,veh20,982,2.000000
cluster_452486132_452486137,veh47,987,5.000000
cluster_452486132_452486137,veh6,989,2.000000
cluster_452486132_452486137,veh87,1066,77.000000
cluster_452486132_452486137,veh99,1068,2.000000
cluster_452486132_452486137,veh67,1160,92.000000
cluster_452486132_452486137,veh66,1162,2.000000
cluster_452486132_452486137,veh24,1168,6.000000
cluster_452486132_452486137,veh15,1170,2.000000
cluster_452486132_452486137,veh68,1246,76.000000
cluster_452486132_452486137,veh54,1249,3.000000
cluster_452486132_452486137,veh51,1251,2.000000
cluster_452486132_452486137,veh42,1253,2.000000
cluster_452486132_452486137,veh46,1338,85.000000
cluster_452486132_452486137,veh74,1341,3.000000
cluster_452486132_452486137,veh14,1344,3.000000
cluster_452486132_452486137,veh50,1347,3.000000
cluster_452486132_452486137,veh31,1424,77.000000
cluster_452486132_452486137,veh33,1426,2.000000
cluster_452486132_452486137,veh69,1431,5.000000
cluster_452486132_452486137,veh59,1518,87.000000
cluster_452486132_452486137,veh22,1521,3.000000
cluster_452486132_452486137,veh90,1523,2.000000
cluster_452486132_452486137,veh37,1604,81.000000
cluster_452486132_452486137,veh72,1611,7.000000
cluster_452486132_452486137,veh5,1618,7.000000
cluster_452486132_452486137,veh18,1620,2.000000
cluster_452486132_452486137,veh26,1622,2.000000
cluster_452486132_452486137,veh2,1698,76.000000
cluster_452486132_452486137,veh77,1700,2.000000
cluster_452486132_452486137,veh61,1702,2.000000
cluster_452486132_452486137,veh80,1705,3.000000
cluster_452486132_452486137,veh56,1708,3.000000
cluster_452486132_452486137,veh58,1787,79.000000
